name,lat,lng,,,,,,,,,,,,,
Delhi Preet Vihar,28.642048,77.2961484,,,,,,,,,,,,,
Lucknow Alambagh,26.8139516,80.9077973,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Delhi Kabir Nagar,28.6926703,77.28354435,,,,,,,,,,,,,
Delhi Paschim Vihar,28.6695782,77.095956,,,,,,,,,,,,,
Dehradun,30.3255646,78.0436813,,,,,,,,,,,,,
Delhi-Omax Mall,28.658387,77.231569,,,,,,,,,,,,,
Hydrabad Sarat City,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pune Wakad,18.6022495,73.7644454,,,,,,,,,,,,,
Pune Vimannagar,,,,,,,,,,,,,,,
Hydrabad AS Rao Nagar,17.4840921,78.54899,,,,,,,,,,,,,
Hydrabad Somajiguda,17.4255053,78.4585197,,,,,,,,,,,,,
Chennai T Nagar,13.0474821,80.2450469,,,,,,,,,,,,,
Bangalore Banashankari,12.9236617,77.5543506,,,,,,,,,,,,,
Mysore,39.58072,-99.976634,,,,,,,,,,,,,
Banglore Jayanagar,13.076915,80.165114,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kolkata Kanchanpara,22.6012775,88.3841474,,,,,,,,,,,,,
"H K Jewels Pvt. Ltd Birhana Road, Kanpur",24.8611698,67.0190285,,,,,,,,,,,,,
H K Jewels Pvt. Ltd GMS Road.Dehradun,30.7163588,74.4090486,,,,,,,,,,,,,
H K Jewels Pvt. Ltd ZirakPur,30.7163588,74.4090486,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
H K Jewels Pvt. Ltd Gurugram,28.400801,77.044923,,,,,,,,,,,,,
"H K Jewels Pvt. Ltd Tribeca,Pune",19.255125,72.984719,,,,,,,,,,,,,
H K Jewels Pvt. Ltd Yamuna Nagar Haryana,30.12796,77.28371,,,,,,,,,,,,,
H K Jewels Pvt. Ltd Indira Nagar,25.493811,80.341981,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
H K Jewels Pvt. Ltd. - Maninagar Ahmedabad,30.7163588,74.4090486,,,,,,,,,,,,,
Saksham Trading Company Siliguri,22.683394,75.829765,,,,,,,,,,,,,
Sachdeva Diamonds LLP Hisar,21.2149147,72.8297122,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kundalam Jewels LLP Dwarka Delhi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Parth Jewellers Bareilly,22.715249,75.845092,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rama Kisna Jewellers Ayodhya,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kushaal Shah Amar Nath Jewellers Jammu,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
J C Diamonds Mumbai R City,25.453146,81.833913,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balaji Jewellery Koramangala,17.7250961,83.3044043,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
New Ansar Jewellers Hyderabad ,17.436004,78.381627,,,,,,,,,,,,,
S Rajan Infratech Ghaziabad,19.675298,78.557843,,,,,,,,,,,,,
B P S M Jewellers Hazratganz,26.852971,80.944314,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M R Jewellers Deoghar,30.375237,75.54679,,,,,,,,,,,,,
Abhinav Enterprises Prayagraj,26.918455,70.911447,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Swarnkamal Jewellers Agartala,23.828138,91.278482,,,,,,,,,,,,,
Sudarshan Tradepoint Pvt. Ltd. Agra,22.595229,75.297698,,,,,,,,,,,,,
DIVINE JEWELS Haldwani,28.36922,79.415716,,,,,,,,,,,,,
S.R. Jewelcraft Private Limited Anisabad,12.309368,78.4829,,,,,,,,,,,,,
Mohan Babu Bhola Babu Jewels Pvt. Ltd. Patna,,,,,,,,,,,,,,,
Rajveer Goldtech Private Limited Indore,-37.964877,145.39368,,,,,,,,,,,,,
Mirhaanees Jewels Private Limited-Kolkala VIP Road,,,,,,,,,,,,,,,
RNC Jewels Jaipur,37.83519,-122.26309,,,,,,,,,,,,,
AISHVI VENTURES Noida,37.7797063,-122.3914299,,,,,,,,,,,,,
Punjab Jewellers Raipur,28.9954812,77.7042444,,,,,,,,,,,,,
JOHRI BANDHU ORNAMENTS Bhopal,17.422945,78.461979,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Johari Grandsons Bhopal,30.37346,78.064586,,,,,,,,,,,,,
Mirhaanees Jewels Private Limited-Kankurgachi,22.576167,88.389911,,,,,,,,,,,,,
Nityanand Diamonds Gwalior,28.863718,77.97832,,,,,,,,,,,,,
AANSHI JEWELS LLP Delhi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
JAIN JINENDRA JEWELS PRIVATE LIMITED Indore,27.165605,78.008994,,,,,,,,,,,,,
SUHAGAN JEWELLERS Sasaram,51.589377,-0.107278,,,,,,,,,,,,,
PRASAD JEWELLERS Guwahati,21.1148462,79.0570084,,,,,,,,,,,,,
DEEP ALANKAR Azamgarh,24.257845,88.177538,,,,,,,,,,,,,
Sadhana Jewellers ( Daulat Ganj ),25.457613,78.550001,,,,,,,,,,,,,
Anant Jewels And Diamonds Lajpat Nagar,12.997703,77.548665,,,,,,,,,,,,,
"Soliitara ( Spectrum Mall, Noida )",33.653393,-117.74968,,,,,,,,,,,,,
K M Interprise Siliguri,,,,,,,,,,,,,,,
RANJAN JEWELLERS Patna,25.61691,85.121256,,,,,,,,,,,,,
AWADH JEWELS LLP Lucknow,,,,,,,,,,,,,,,
OMTEX JEWELLERS Bhopal,39.9488895,-75.15339792,,,,,,,,,,,,,
Sri Sri Kisna Belgaum,19.966982,73.728719,,,,,,,,,,,,,
GRIHSTHI JEWELLERS PRIVATE LIMITED Gaya,17.427596,78.453229,,,,,,,,,,,,,
SUWARNA TULSI LLP Gandhinagar,23.179466,72.633057,,,,,,,,,,,,,
SILVERR PLUS NX Santacruz,53.842141,-1.538733,,,,,,,,,,,,,
Sree Ambica Jewels Vizag,13.063836,77.587494,,,,,,,,,,,,,
MIBA JEWELS Noida,33.54272,105.7819,,,,,,,,,,,,,
SHRISTY JWELLERS Patna,33.368311,-92.749696,,,,,,,,,,,,,
Jharkhand Jewellers Bokaro,23.36885865,85.32457627,,,,,,,,,,,,,
LORD BUDHA JEWELLERS Siwan,26.312217,84.545853,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DEEP JEWELERS Mau,39.9488895,-75.15339792,,,,,,,,,,,,,
NAVRATNA ABHUSHAN LLP Borivali,,,,,,,,,,,,,,,
SANI CLEAN PRIVATE LIMITED Bhubaneswar,28.6426712,77.18237228,,,,,,,,,,,,,
ANUPRIYA ALANKARAN PRIVATE LIMITED Bhilai,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Sapna Sangeeta,Indore",22.6992077,75.8672819,,,,,,,,,,,,,
"Srikakulam,Andhra Pradesh",18.297064,83.902562,,,,,,,,,,,,,
